ST_unmod1,ST_human,ST_vleng,mixing_unmod1,mixing_human,mixing_vleng,MTL_unmod1,MTL_human,MTL_vleng
0.9417845561407865,0.8168146899330593,0.8677244279740339,0.9359517495158722,0.7518035767273713,0.8738101383468648,0.9401898592731381,0.8378456782972048,0.8671372243527589
0.9425491930281658,0.8160675803399802,0.8594583703117425,0.9366792469224616,0.7386517102307111,0.8650881941789766,0.9415782267837862,0.8306027700984722,0.8678712486110136
0.9409947295342518,0.8094130834617714,0.8692426630512553,0.9370286463623355,0.7335659069672322,0.868572262027987,0.9419950079513633,0.8337709383722145,0.8742075974231659
0.941682688391323,0.8120713005417323,0.8600407814621196,0.9367738751766667,0.7278889408994473,0.8640541218194356,0.94224749521712,0.8317643948020703,0.8702780827302488
0.9405482550224087,0.8110314537685782,0.8718015027429051,0.9380034477647051,0.7385318188008538,0.8735327052629708,0.9432278522994351,0.8296140633711021,0.871544319928653
0.9409716909063379,0.8076728001172094,0.8553675014885658,0.9350638782430665,0.7426436790283004,0.8658181110390823,0.9421366395136193,0.8388739439076068,0.8735776740871993
0.9394907706409219,0.8149710649109012,0.8629987061931361,0.9364387086493944,0.7403450418056619,0.8717732064105299,0.9424715104723694,0.8367847379247892,0.8760561301182787
0.93983063054869,0.8059131626553309,0.8641826308053108,0.93748144860964,0.7366807258182304,0.8687738291698528,0.941508195858107,0.8321740773293907,0.8694868293286471
0.9406076317535036,0.8104273962865925,0.8651748392199554,0.9372368565726056,0.7041247692631634,0.8628495513745346,0.9429143506198548,0.8348781999383484,0.8706258774399759
0.9404708717655834,0.819149312625019,0.8632892786802085,0.9334145163317353,0.7357490791452415,0.8672005347201053,0.9419396125309241,0.832879432514383,0.8711668583395183
