channel,above_average_mean,human_Pearsonr
173,0.4064388457429189,0.221
180,0.4553362686965965,0.17
92,-0.0013460005696526,-0.132
137,-0.1188173563398953,0.048
223,0.0994594596955504,0.33
20,-0.0154084965586784,0.063
216,-0.1365072566159586,-0.075
241,-0.2061016877458525,0.122
147,0.0497361030538456,-0.076
99,0.1525605114873762,0.242
35,0.0985643467278221,-0.036
212,0.1409103235031228,0.202
7,-0.0233381583128515,-0.051
76,0.0538625751458763,0.015
225,-0.0600625106692964,0.07
208,-0.1399244771177166,0.102
161,0.0709763036390755,-0.059
71,-0.0046777068839061,0.003
238,-0.0070895099568968,-0.217
186,-0.1940338049244268,-0.03
85,0.067013420732084,-0.147
57,-0.2534947734162012,0.039
192,-0.1116162024355036,-0.432
113,0.1503856883664811,0.01
12,-0.2210683147044703,-0.116
158,0.0861700855848486,0.249
179,-0.0264275276462155,0.055
215,-0.246637670372527,-0.197
41,0.1458861360835417,0.132
119,-0.0662593383340768,0.265
2,0.0247136756007,0.16
40,0.0020142225554442,0.069
195,-0.0996579412236444,0.1
146,0.0882560260638856,-0.225
67,0.2467211916057126,-0.098
226,-0.0818429535819076,0.035
115,-0.0971827283248982,0.254
116,-0.3689761359663928,-0.115
53,0.249006187818062,-0.015
95,-0.2584315112676725,0.327
156,0.3731473045776292,-0.184
138,0.2441662993890618,0.018
210,0.0158301674306278,-0.009
136,-0.106239598264656,0.246
59,-0.2375330265099906,-0.197
82,-0.0732888102805811,-0.27
83,0.200741561260263,-0.143
141,-0.0636525887341958,0.261
126,0.2762426911161055,0.112
166,0.179804054443883,0.11
214,0.1293551752920079,0.193
123,-0.2392004483719079,-0.055
91,0.0168507865466773,-0.11
133,-0.2146923261883282,-0.117
100,0.2584691475468226,0.056
232,-0.3436832729103622,-0.054
105,-0.0202339622682572,-0.246
191,-0.1015132042496089,0.245
70,-0.1324055854859001,-0.18
183,0.0068345987591742,-0.008
50,0.3109109825335405,-0.325
150,0.0486125924080269,-0.107
181,0.159673453975417,-0.395
176,-0.1942628396537911,0.104
170,0.140196469743433,0.018
33,0.0355640018974643,0.202
233,-0.0228065269749375,0.034
131,0.1203863482782843,0.36
6,-0.0105645148876787,-0.022
163,0.1654093053063245,-0.313
135,-0.1170690349884111,0.022
245,0.0119299919240409,0.057
66,0.1464929629047864,0.05
73,0.2712235981600077,0.11
188,-0.0604092208197304,-0.202
63,0.2607868506946147,0.249
22,0.1292095746489705,-0.216
199,0.0851415349306163,0.081
164,0.0760685437470902,-0.315
8,0.0113308711217889,0.258
88,0.0462437529018169,-0.145
61,0.0487095669458561,0.204
153,0.1335589893666631,0.075
246,0.0422719151030035,-0.171
106,-0.4207760745277236,0.019
69,-0.0883047980381652,-0.203
16,0.2638805627796019,0.062
112,0.0422628867025203,-0.094
221,0.1972928086026089,-0.212
87,-0.1477252258536818,0.099
80,0.0629767479716774,-0.147
213,0.0279615334076215,-0.123
152,0.1244369478712634,0.076
3,0.0177010393025902,-0.04
110,-0.2444340868224266,-0.289
253,-0.0626118577513707,-0.36
247,0.0190670847368865,-0.012
132,-0.009142113277341,0.166
142,0.1228427977508479,0.13
36,0.0342762993137331,0.145
118,0.1871762017940561,-0.221
222,0.5279286180976799,-0.347
13,-0.0254621092015714,0.069
236,-0.2527846988018947,-0.225
167,0.048275223455696,-0.006
151,-0.0579721084919917,0.1
49,-0.0443255664684265,-0.072
103,0.0125470063585764,0.165
23,0.2582092916429941,0.087
207,0.1398562915363141,-0.123
94,-0.1901081640739192,-0.289
177,0.0156310298068671,0.077
227,0.1060924933097728,-0.013
209,-0.0866318930610461,-0.369
251,0.1000032996437871,-0.28
89,-0.0330223492850407,-0.107
240,-0.1818443000010212,-0.016
11,-0.0402655113408965,0.189
244,0.2397086350285322,0.046
254,-0.1060111208977616,0.047
174,-0.0569117303208299,0.156
134,-0.2568962548662679,0.119
194,-0.1412534431305259,-0.417
130,-0.0551997447472798,0.25
165,0.2686598884112694,0.091
96,-0.5845198150876167,0.021
42,0.2262788531796014,0.109
252,0.3241236723640357,0.07
204,-0.123847817478194,-0.14
187,-0.0342776100417419,-0.194
250,0.0226079182402578,0.212
125,0.4062794391191051,-0.361
234,-0.0015700028135698,-0.444
190,0.0503508545444058,-0.362
255,0.1694227885494132,0.258
54,0.0613569778580656,-0.385
51,-0.0086523624039358,0.151
90,-0.4137685293702136,-0.147
46,-0.2122772107418091,0.154
79,-0.0645639906398294,-0.106
86,-0.0737233418881064,-0.099
201,0.0878370292620172,-0.004
21,0.0724788779622169,-0.172
178,0.0860246308797867,0.048
32,-0.1387359956070337,-0.042
200,-0.1628558350865354,0.02
182,-0.0388289557187979,-0.063
160,0.0628518079402056,0.141
29,-0.202420174106142,-0.178
203,0.1913361105431255,0.103
10,-0.1854545147822692,-0.287
14,0.0451817891764791,0.239
217,0.1546712056700263,0.307
97,0.0818703853387905,0.293
19,-0.0160061601919627,-0.11
157,-0.3434093056616589,-0.047
242,-0.107257446168127,0.107
74,-0.2189471149956192,0.01
128,-0.048937565379961,-0.191
169,-0.1066194172745715,0.186
168,-0.1191312895664999,-0.168
24,-0.2758463712419017,-0.035
4,0.0476276098742429,0.195
30,0.2438954232529999,0.326
37,-0.1833176689361009,-0.382
39,0.1543849062671967,0.18
239,-0.2052825443546586,-0.366
111,0.3188281467373661,0.171
205,0.0907540809153593,-0.042
26,-0.0308560532746069,0.028
107,-0.0455322741653398,-0.263
102,0.009090142625812,0.194
45,0.1052950652982573,-0.092
172,-0.266640362087335,-0.327
149,-0.142821398023754,-0.105
18,0.1828795485671346,0.119
25,-0.041438968031378,-0.069
124,0.4228396117070589,-0.276
229,-0.2056974116050138,-0.155
230,0.2004479820054285,0.265
206,0.1104870820774355,0.151
185,0.0914567503660377,-0.115
249,-0.0917528329393979,0.175
197,0.1135553549265901,-0.283
248,-0.2727697789630321,-0.346
148,0.2273667699067143,-0.001
127,0.037507923982476,-0.368
52,0.0101334893197817,0.14
0,0.0513863253533477,0.143
38,-0.0202800472736939,-0.02
9,-0.1251417226430753,0.174
17,-0.2116310577429656,-0.404
93,-0.1152354569698497,-0.102
121,-0.40597013112178,0.149
34,0.2985978376666649,-0.331
175,0.0131070384363045,-0.145
44,-0.2029794395143733,-0.069
189,0.0692428385512178,0.008
237,0.5625104323766852,0.306
64,-0.1209158888098009,-0.411
231,-0.026247526415041,-0.058
171,-0.0201510255381132,0.225
235,-0.0745705759727135,-0.294
77,-0.275656697174738,-0.416
243,-0.0492282765467644,-0.23
114,0.0673188630758279,0.127
78,0.1061826819856834,0.102
159,-0.1155275439926892,-0.065
144,-0.0449059018016679,0.033
47,-0.4429293647485233,-0.376
145,-0.3638032454068387,-0.446
62,-0.0931102154474965,0.143
220,0.0773395648225845,-0.236
43,0.2496577010468801,0.193
60,-0.3213876606149117,0.096
48,0.161157717481692,0.307
65,0.213188108190919,-0.179
101,0.1953586537412635,0.124
31,0.0650988761682862,0.007
75,-0.0121308281048255,-0.108
117,0.0845254566479623,-0.012
68,-0.0010495018225942,-0.016
219,0.055028930118528,0.091
81,-0.1982749069435261,-0.447
109,0.1720895147909606,-0.115
27,-0.0214688092607229,-0.217
155,-0.07460387480568,0.272
56,0.0606012782852696,-0.359
98,0.0569451977167538,-0.283
72,0.0714634694721212,0.037
55,-0.1115349603250024,0.218
104,0.1951867262897177,0.224
129,-0.1656595767847672,-0.364
228,-0.1360543931568338,0.206
184,0.0389111745789927,0.272
122,0.2422545880723712,-0.234
84,-0.254164782314052,-0.122
224,-0.1004238125864311,-0.383
5,0.2279791531409625,0.052
202,0.3241612209140676,0.205
139,-0.511951554418494,0.284
196,-0.1815600498877776,-0.138
198,0.1010316427449584,0.036
162,-0.3340193767819741,-0.327
218,-0.3987390910636978,0.294
140,0.2216017125711769,0.189
108,-0.247842452649226,-0.131
211,-0.0101878121160563,-0.269
154,0.174055854498107,-0.195
1,-0.8758071533271807,-0.425
193,-0.2860913478297329,-0.451
58,0.0410392169310585,-0.256
28,-0.2280037086612072,-0.369
