layer,n_patch,target,query,cv,N_query,N_target,model
2,500,293T,human,1,83,88,M2R
3,500,293T,pc3,2,256,256,M2R
2,500,293T,pc3,3,201,206,M2R
3,500,pc3,human,1,225,223,M2R
3,500,293T,pc3,1,256,256,M2R
2,500,pc3,human,1,98,100,M2R
3,500,293T,human,0,225,224,M2R
2,500,293T,pc3,1,201,206,M2R
2,500,pc3,human,1,98,100,M2R
3,500,293T,human,1,225,224,M2R
3,500,pc3,human,1,225,223,M2R
2,500,293T,pc3,2,201,206,M2R
2,500,293T,human,0,83,88,M2R
3,500,293T,pc3,3,256,256,M2R
3,500,293T,pc3,1,256,256,M2R
2,500,293T,human,2,83,88,M2R
2,500,293T,pc3,0,201,206,M2R
3,500,293T,human,3,225,224,M2R
2,500,pc3,human,1,98,100,M2R
3,500,pc3,human,1,225,223,M2R
2,500,293T,human,1,83,88,M2R
3,500,pc3,human,1,225,223,M2R
3,500,293T,human,2,225,224,M2R
2,500,pc3,human,1,98,100,M2R
2,500,293T,pc3,1,201,206,M2R
3,500,293T,human,1,225,224,M2R
3,500,293T,pc3,0,256,256,M2R
2,500,293T,human,3,83,88,M2R
2,500,pc3,human,1,98,100,M2R
3,500,pc3,human,1,225,223,M2R
2,500,293T,human,5,9,8,SingleTask
2,500,pc3,human,8,7,5,SingleTask
2,500,pc3,human,2,5,4,SingleTask
3,500,293T,pc3,4,88,164,SingleTask
3,500,293T,human,4,70,79,SingleTask
3,500,pc3,human,9,61,67,SingleTask
2,500,293T,pc3,5,4,5,SingleTask
3,500,pc3,human,3,48,74,SingleTask
3,500,pc3,human,2,79,73,SingleTask
2,500,293T,pc3,4,17,35,SingleTask
3,500,pc3,human,8,29,55,SingleTask
3,500,293T,human,5,119,52,SingleTask
3,500,293T,pc3,5,27,33,SingleTask
2,500,pc3,human,3,5,7,SingleTask
2,500,pc3,human,9,11,10,SingleTask
2,500,293T,human,4,8,11,SingleTask
2,500,293T,human,6,6,5,SingleTask
2,500,pc3,human,1,19,15,SingleTask
3,500,293T,human,7,39,31,SingleTask
3,500,293T,pc3,7,26,40,SingleTask
2,500,293T,pc3,6,6,7,SingleTask
3,500,pc3,human,0,70,54,SingleTask
3,500,pc3,human,1,35,58,SingleTask
2,500,293T,pc3,7,3,6,SingleTask
3,500,293T,pc3,6,52,58,SingleTask
3,500,293T,human,6,33,70,SingleTask
2,500,pc3,human,0,11,8,SingleTask
2,500,293T,human,7,6,8,SingleTask
2,500,pc3,human,4,7,11,SingleTask
2,500,293T,human,3,9,10,SingleTask
2,500,293T,human,9,8,9,SingleTask
3,500,pc3,human,5,43,69,SingleTask
2,500,293T,pc3,3,13,19,SingleTask
2,500,293T,pc3,9,13,18,SingleTask
3,500,293T,pc3,8,42,79,SingleTask
3,500,293T,human,2,19,52,SingleTask
3,500,293T,pc3,2,35,56,SingleTask
3,500,293T,human,8,41,65,SingleTask
3,500,293T,pc3,3,51,68,SingleTask
3,500,293T,human,9,26,49,SingleTask
3,500,293T,pc3,9,30,40,SingleTask
3,500,293T,human,3,48,50,SingleTask
2,500,293T,pc3,8,9,7,SingleTask
2,500,293T,pc3,2,5,5,SingleTask
3,500,pc3,human,4,82,83,SingleTask
2,500,293T,human,8,6,8,SingleTask
2,500,293T,human,2,9,9,SingleTask
2,500,pc3,human,5,5,9,SingleTask
2,500,pc3,human,7,6,7,SingleTask
2,500,293T,human,0,6,6,SingleTask
3,500,pc3,human,6,19,50,SingleTask
2,500,293T,pc3,0,14,19,SingleTask
3,500,293T,pc3,1,36,77,SingleTask
3,500,293T,human,1,73,63,SingleTask
3,500,293T,human,0,41,39,SingleTask
3,500,293T,pc3,0,30,54,SingleTask
2,500,293T,pc3,1,17,16,SingleTask
3,500,pc3,human,7,58,55,SingleTask
2,500,293T,human,1,13,9,SingleTask
2,500,pc3,human,6,3,3,SingleTask
