cv,sig_tar,sig_que,layer,task
0,34,31,3,ST293T
1,9,7,3,ST293T
2,26,18,3,ST293T
3,58,46,3,ST293T
4,20,27,3,ST293T
5,30,38,3,ST293T
6,23,28,3,ST293T
7,23,25,3,ST293T
0,4,4,2,ST293T
1,7,6,2,ST293T
2,5,4,2,ST293T
3,10,9,2,ST293T
4,5,4,2,ST293T
5,9,8,2,ST293T
6,8,7,2,ST293T
7,7,4,2,ST293T
0,41,26,3,STpc3
1,35,46,3,STpc3
2,32,31,3,STpc3
3,76,34,3,STpc3
4,28,82,3,STpc3
5,46,44,3,STpc3
6,36,34,3,STpc3
7,22,18,3,STpc3
0,18,16,2,STpc3
1,9,11,2,STpc3
2,9,9,2,STpc3
3,18,12,2,STpc3
4,7,9,2,STpc3
5,10,9,2,STpc3
6,7,7,2,STpc3
7,16,18,2,STpc3
01,40,38,3,M2R
23,35,34,3,M2R
12,33,34,3,M2R
03,27,25,3,M2R
13,28,32,3,M2R
02,37,31,3,M2R
12,4,4,2,M2R
03,5,5,2,M2R
13,3,3,2,M2R
02,6,6,2,M2R
01,4,4,2,M2R
23,3,3,2,M2R
