human_transfer,vleng_transfer,unmod1_transfer,MTL_transfer,scratch
0.5667994705856851,0.5880884457830553,0.590227426425648,0.5934815320682182,0.628802151233031
0.5766150287324097,0.5849339136289364,0.5900073794870222,0.5960103581708063,0.631787471229025
0.5757248030515199,0.5834914297396949,0.5891360291913652,0.5967226907198926,0.6325347541214419
0.5761998508298156,0.5856984286002884,0.5881120993816691,0.5978358969676659,0.6229788786114878
0.5778419414046266,0.5720961354795561,0.5716008142297051,0.5971397646160617,0.629497590726257
0.5755645527732822,0.5835102667072315,0.5849339579485918,0.5984771796236332,0.6364900075183115
0.5762691634972272,0.5841924792603174,0.5879392452601024,0.5972101978036125,0.6320256891804965
0.5745784701219849,0.5828922202687791,0.5904701156551275,0.5973469589262372,0.6348204383860077
0.5740045873743964,0.5839290950177745,0.5709168088255528,0.5974061985304371,0.6266133055081666
0.5745606152984382,0.58243380944096,0.5877692270856172,0.5964755779431843,0.6347617022328536
